Kraftwerksname / Standort,Betreiber,Bundesland,Standort-PLZ,Kraftwerksstandort,Elektrische Bruttoleistung (MW),Anlagenart,Primärenergieträger,Latitude,Longitude,Type_Prod,Erzeuger
Schwedt 2,PCK Raffinerie GmbH,BB,16303.0,Schwedt,117.0,HKW,Ölrückstand,53.0586366,14.2840858,Konventionell,Other
Schwedt 4 bis 6,PCK Raffinerie GmbH,BB,16303.0,Schwedt,129.0,HKW,Ölrückstand,53.0586366,14.2840858,Konventionell,Other
Schwörstadt-Ryburg / Rhein,Energiedienst AG (EnBW),BW,79739.0,Ryburg-Schwörstadt,144.0,LWK,Wasser,47.5852784,7.8326884,Erneuerbar,EnBW
Senftenberg I-III,Saferay GmbH / GP Joule GmbH / Solar Schipkau GmbH & Co. KG / Solar Meuro GmbH & Co. KG,BB,1968.0,Senftenberg,178.0,PV,Licht,51.535548603376114,13.96361090583626,Erneuerbar,Other
Sindelfingen,Mercedes-Benz AG,BW,71059.0,Sindelfingen,174.1,HKW / GT,Erdgas,48.698079456432126,8.997185976765042,Konventionell,Other
Sintfeld,Sintfeld REGO Strom GmbH / Windpark Meerhof GmbH,NW,33165.0,Lichtenau,371.3,WEA,Wind (L),51.6166977,8.8999978,Erneuerbar,Other
Stade-Bützfleth,Dow Deutschland Anlagengesellschaft mbH,NI,21683.0,Stade,173.0,GuD / IKW,Erdgas,53.599794,9.475438,Konventionell,Other
Staßfurt 1 u. 2,CIECH Energy Deutschland GmbH,ST,39418.0,Staßfurt,134.0,GuD / IKW,Erdgas,51.8514515,11.5929455,Konventionell,Other
Staudinger 4 (Großkrotzenburg),Uniper SE,HE,63538.0,Großkrotzenburg,660.0,DKW,Erdgas,50.0826406,8.9837384,Konventionell,Eon
Staudinger 5 (Großkrotzenburg),Uniper SE,HE,63538.0,Großkrotzenburg,553.0,HKW,Steinkohle,50.0826406,8.9837384,Konventionell,Eon
Stößen-Teuchern,Enercon Windpark Stößen GmbH & Co. KG,ST,6667.0,Stößen,146.0,WEA,Wind (L),51.13443943245676,11.96086814458087,Erneuerbar,Other
Stuttgart-Münster,EnBW Kraftwerke AG,BW,70376.0,Stuttgart,189.0,HKW / SSA,"Steinkohle, HEL, Abfall",48.7784485,9.1800132,Konventionell,EnBW
Sülzetal,Betreibergesellschaft,ST,39171.0,Sülzetal,111.4,WEA,Wind (L),52.1592811,11.4891891,Erneuerbar,Other
